2025-03-04 at 10:12:29 | SUCCESS | [测试log] hello, world
2025-03-04 at 10:12:29 | INFO | [测试log] hello, world
2025-03-04 at 10:12:29 | DEBUG | [测试log] hello, world
2025-03-04 at 10:12:29 | WARNING | [测试log] hello, world
2025-03-04 at 10:12:29 | ERROR | [测试log] hello, world
2025-03-04 at 10:12:29 | CRITICAL | [测试log] hello, world
2025-03-04 at 10:20:24 | DEBUG | Generate models Starting ...
2025-03-04 at 10:20:24 | DEBUG | Generate model for table: Customer
2025-03-04 at 10:20:24 | DEBUG | Generate groups Starting ...
2025-03-04 at 10:20:24 | DEBUG | Generate group for group: Customeradmingroup
2025-03-04 at 10:20:24 | DEBUG | Generate pages Starting ...
2025-03-04 at 10:20:24 | DEBUG | Generate page for page: customer
2025-03-04 at 10:21:08 | DEBUG | Generate models Starting ...
2025-03-04 at 10:21:08 | DEBUG | Generate model for table: Customer
2025-03-04 at 10:21:08 | DEBUG | Generate model for table: Contract
2025-03-04 at 10:21:08 | DEBUG | Generate model for table: Contractdetail
2025-03-04 at 10:21:08 | DEBUG | Generate models Completed ...
2025-03-04 at 10:21:08 | DEBUG | Generate groups Starting ...
2025-03-04 at 10:21:08 | DEBUG | Generate group for group: Customeradmingroup
2025-03-04 at 10:21:08 | DEBUG | Generate group for group: Contractadmingroup
2025-03-04 at 10:21:08 | DEBUG | Generate groups Completed ...
2025-03-04 at 10:21:08 | DEBUG | Generate pages Starting ...
2025-03-04 at 10:21:08 | DEBUG | Generate page for page: customer
2025-03-04 at 10:21:08 | DEBUG | Generate page for page: contract
2025-03-04 at 10:21:08 | DEBUG | Generate page for page: contractdetail
2025-03-04 at 10:21:08 | DEBUG | Generate pages Completed ...
2025-03-04 at 10:57:02 | DEBUG | Regist admin module [ AppHome ] ...
2025-03-04 at 10:57:21 | DEBUG | Regist admin module [ AppHome ] ...
2025-03-04 at 10:57:33 | DEBUG | Regist admin module [ AppHome ] ...
2025-03-04 at 10:57:52 | DEBUG | Regist admin module [ AppHome ] ...
2025-03-04 at 10:59:00 | DEBUG | Regist admin module [ AppHome ] ...
2025-03-04 at 11:00:22 | DEBUG | Regist admin module [ AppHome ] ...
2025-03-04 at 11:01:47 | DEBUG | Regist admin module [ AppHome ] ...
2025-03-04 at 11:01:51 | DEBUG | Regist admin module [ AppHome ] ...
2025-03-04 at 11:02:42 | DEBUG | Regist admin module [ Customeradmingroup ] ...
2025-03-04 at 11:02:42 | DEBUG | Regist admin module [ AppHome ] ...
2025-03-04 at 11:02:48 | DEBUG | Regist admin module [ Customeradmingroup ] ...
2025-03-04 at 11:02:48 | DEBUG | Regist admin module [ AppHome ] ...
2025-03-04 at 11:03:51 | DEBUG | Regist admin module [ Customeradmingroup ] ...
2025-03-04 at 11:03:51 | DEBUG | Regist admin module [ AppHome ] ...
2025-03-04 at 11:04:22 | DEBUG | Regist admin module [ AppHome ] ...
2025-03-04 at 11:04:25 | DEBUG | Regist admin module [ AppHome ] ...
2025-03-04 at 11:04:28 | DEBUG | Regist admin module [ AppHome ] ...
2025-03-04 at 11:05:03 | DEBUG | Regist admin module [ Customeradmingroup ] ...
2025-03-04 at 11:05:03 | DEBUG | Regist admin module [ AppHome ] ...
2025-03-04 at 11:05:06 | DEBUG | Regist admin module [ Customeradmingroup ] ...
2025-03-04 at 11:05:06 | DEBUG | Regist admin module [ AppHome ] ...
2025-03-04 at 11:05:09 | DEBUG | Regist admin module [ Customeradmingroup ] ...
2025-03-04 at 11:05:09 | DEBUG | Regist admin module [ AppHome ] ...
2025-03-04 at 11:06:22 | DEBUG | Regist admin module [ Customeradmingroup ] ...
2025-03-04 at 11:06:22 | DEBUG | Regist admin module [ AppHome ] ...
2025-03-04 at 11:06:45 | DEBUG | Regist admin module [ Customeradmingroup ] ...
2025-03-04 at 11:06:45 | DEBUG | Regist admin module [ AppHome ] ...
2025-03-04 at 11:07:09 | DEBUG | Regist admin module [ Customeradmingroup ] ...
2025-03-04 at 11:07:09 | DEBUG | Regist admin module [ AppHome ] ...
2025-03-04 at 11:09:17 | DEBUG | Regist admin module [ Customeradmingroup ] ...
2025-03-04 at 11:09:17 | DEBUG | Regist admin module [ AppHome ] ...
2025-03-04 at 11:15:12 | DEBUG | Regist admin module [ Customeradmingroup ] ...
2025-03-04 at 11:15:12 | DEBUG | Regist admin module [ AppHome ] ...
2025-03-04 at 11:15:43 | DEBUG | Regist admin module [ Customeradmingroup ] ...
2025-03-04 at 11:15:43 | DEBUG | Regist admin module [ AppHome ] ...
